p227_001| PLIY1Z KAO1L STEH1LAH0 .
p227_070| DHEH1N FAA1LOW0D AH0 BAW1T AH1V FLUW1 .
p227_071| BOW1TH SAY1DZ HHAE1V BIH1N HHIH1T BAY1 IH1NJHER0IY0 .
p227_072| HHAE1LIH0FAE2KS HHAE1Z AO1LSOW0 BIH1N MEH1NSHAH0ND AE1Z AH0 LAY1KLIY0 PREH1DAH0TER0 .
p227_073| IH1T IH1Z AH0 TEH1RAH0BAH0L PLEY1S .
p227_074| IY1VIH0N DHAH0 WAH1N SHIY1 LAH1VD .
p227_075| AE1FTER0 FAY1V WIY1KS DHAH0 VIY1HHIH0KAH0L WIH1L BIY1 SOW1LD AE1T AA1KSHAH0N .
p227_077| AY1 FER1ST MEH1T HHIH1M LAE1ST SAH1MER0 .
p227_078| LAE1ST WIY1K , HHIY1 WAA1Z TEY1KAH0N IH1NTUW0 HHAA1SPIH2TAH0L .
p227_079| AA1BVIY0AH0SLIY0 , WIY1 WER1 PRIH1TIY0 KLOW1S IH0N AH0 KAH1PAH0L AH1V GEY1MZ .
p227_080| POW1ST AO1FAH0S HHAE1Z MIH1ST DHAH0 BOW1T .
p227_081| BAY1 DHEH1N , HHIY1 WAA1Z WAO1KIH0NG AA1N WAO1TER0 .
p227_083| DHEY1 LIH1VD FAO1R DHEH1R CHIH1LDRAH0N .
p227_084| POW1SHAH0NZ SEH1D HHIY1 WUH1D DRAY1V .
p227_086| KAA1MPLEH0KS AH0ND DIH0TEY1LD RIY0PAO1RT .
p227_087| DHAH0 AW2TSAO1RSIH0NG DIY1L WIH1L TEY1K IH0FEH1KT IH0N SEH0PTEH1MBER0 .
p227_088| WIY1 WIH1L DIY1L WIH1DH DHAH0 REH1FYUW2JHIY0Z .
p227_089| YUW1 MAY1T NAA1T MEY1K IH1T .
p227_090| IH1T IH1Z OW1PAH0N SIY1ZAH0N AA1N DHAH0 OW1LD FER1M .
p227_091| DHAE1T IH1Z DHAH0 IH2MPAO1RTAH0NT THIH1NG .
p227_092| FAO1R WAH1NS , YUW1 SHUH1D BIH0LIY1V DHAH0 HHAY1P .
p227_093| KLAA1RK WAA1Z DEH1SPRIH0T TUW1 RIH0TER1N TUW1 DHAH0 HHAW1S AH1V KAA1MAH0NZ .
p227_094| AE1TAH0TUW2D IH1Z AO1L RAO1NG .
p227_095| YUW1 AA1R LAY1K AE1N AE1NAH0MAH0L .
p227_096| NOW1 , DHAH0 IH0KWIH1PMAH0NT IH1Z EH1KSTRAH0 .
p227_099| WAY1L DHEY1 WEH1NT AA1N HHAA1LAH0DEY2 , WIY1 GAA1T DHAH0 KAA1NTRAE2KT .
p227_100| AY1 HHAE1D AH0 FAO1RCHAH0NAH0T WAO1R .
p227_101| AY1 DIH1D NAA1T SIY1 EH1NIY0 RIY1ZAH0N TUW1 CHEY1NJH DHAH0 KAE1PTAH0N .
